,grade,dba_master,cuisine_description,lat,lng,grade_date
0,A,SHASHEMENE INT'L RESTAURANT,Caribbean,40.652218700000006,-73.9244528,2018-04-28
1,A,TEXAS FRIED CHICKEN AND PIZZA,American,40.6705501,-73.9312202,2018-04-28
2,Z,LITTLE BROWN JUG,American,40.7006133,-73.82629539999998,2018-04-28
3,A,NEW YONG SHENG,Chinese,40.690383600000004,-73.82523859999998,2018-04-28
4,A,SNACK TAVERNA,Greek,40.7310259,-74.00482190000001,2018-04-28
5,A,SILVER'S CRUST WEST INDIAN RESTAURANT & GRILL,Caribbean,40.642434,-73.926643,2018-04-28
6,Z,LICHEE NUT,Chinese,40.694184299999996,-73.9928051,2018-04-28
8,A,SOHNA PUNJAB,Indian,40.6934876,-73.82919989999998,2018-04-28
9,A,HONG KONG RESTAURANT,Chinese,40.695300399999994,-73.84320459999998,2018-04-28
10,A,MR KING FOOD KITCHEN,Chinese,40.660433700000006,-73.9395183,2018-04-28
11,A,FAST & FRESH BURRITO DELI,Mexican,40.68807520000001,-73.98698590000001,2018-04-28
12,Z,INDIAN MASALA,Indian,40.67407010000001,-73.93103169999998,2018-04-28
13,A,KINGSTON PIZZA,Pizza,40.6708427,-73.94184890000002,2018-04-28
14,Z,Junoon Cafe and Grill,American,40.726580600000005,-73.7882865,2018-04-28
15,A,FATOOSH PIZZA & BBQ,Middle Eastern,40.691500399999995,-73.9978553,2018-04-28
16,Z,FOOD FOR THOUGHT THE CARIBBEAN EXPERIENCE,Californian,40.6774019,-73.9412306,2018-04-28
17,A,ZUCCA BUCA FROZEN YOGURT,"Ice Cream, Gelato, Yogurt, Ices",40.729122100000005,-73.7804838,2018-04-28
18,A,SAIGON ASIAN CUISINE,Asian,40.7261295,-73.7912296,2018-04-28
19,Z,TASTE THAI,Thai,40.726733700000004,-73.78930249999998,2018-04-28
20,A,ISTANBUL TURKISH,Turkish,40.6015988,-73.99385389999998,2018-04-27
21,A,KASHMIR,Pakistani,40.7549783,-73.9948512,2018-04-27
22,A,SAJHOMA RESTAURANT,Spanish,40.6619739,-73.89236059999999,2018-04-27
23,A,J P MORGAN CHASE,American,40.7558818,-73.9755845,2018-04-27
25,A,SWEET HOUSE DRINK AND DESSERT,"Juice, Smoothies, Fruit Salads",40.602832299999996,-73.99562540000001,2018-04-27
26,A,BIRCH COFFEE,Caf̩/Coffee/Tea,40.73837,-74.0001249,2018-04-27
27,A,GREEN APPLE GOURMET,American,40.750642600000006,-73.9845181,2018-04-27
28,A,AUX EPICES,Asian,40.7179819,-73.9988194,2018-04-27
29,Z,212 BURGER,Hamburgers,40.660390299999996,-73.9806268,2018-04-27
30,A,ESTRELLA MEXICANA RESTAURANT,Mexican,40.857862700000005,-73.9016255,2018-04-27
31,Z,VANITY GENTLEMEN'S LOUNGE,American,40.7380562,-73.885663,2018-04-27
32,Z,FIRST STOP DELI,Delicatessen,40.616583,-73.97108999999998,2018-04-27
33,A,FOTEH'S TANDOORI,Russian,40.592020899999994,-73.96099319999998,2018-04-27
34,Z,EL SABROSO RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.75419,-73.9917475,2018-04-27
35,A,WHITMANS,American,40.752107099999996,-74.0016428,2018-04-27
37,A,EL POLLO ENCHILADO,Mexican,40.6047328,-73.97007239999998,2018-04-27
38,A,D'AQUILA PASTRY SHOP,Bakery,40.7667195,-73.7896698,2018-04-27
39,A,FRIEDMAN'S,American,40.748267,-73.990714,2018-04-27
40,Z,G&J'S PIZZERIA,Pizza/Italian,40.7816229,-73.946223,2018-04-27
41,A,BERG'N BEER HALL/MIGHTY QUINN'S/LANDHAUS/LUMPIA SHACK,American,40.6773286,-73.9576342,2018-04-27
42,Z,NATTO GARDEN,Asian,40.6737909,-73.9827968,2018-04-27
43,A,GOLDEN FOREST,Chinese,40.716692200000004,-73.98945359999998,2018-04-27
44,A,SUNDOWN BAR,American,40.702596,-73.90122699999998,2018-04-27
45,A,SHUNDECK RESTAURANT,Chinese,40.599866399999996,-73.990889,2018-04-27
46,A,FRAME,Delicatessen,40.7546766,-73.9884665,2018-04-27
47,A,BROOKLYN BEET COMPANY,Czech,40.6333107,-74.0267302,2018-04-27
48,A,BROOKLYN ROASTING WORKS,Caf̩/Coffee/Tea,40.7419258,-73.99190990000001,2018-04-27
49,Z,JASMIN LOUNGE,Caf̩/Coffee/Tea,40.7668184,-73.91291899999999,2018-04-27
50,Z,PALACE CAFE & GRILL,Mediterranean,40.6361576,-74.02772689999998,2018-04-27
51,Z,MIKEY'S,American,40.72024469999999,-73.98805639999998,2018-04-27
52,Z,DOMINO'S,Pizza,40.6861033,-73.91645550000001,2018-04-27
53,A,STARBUCKS,Caf̩/Coffee/Tea,40.7439083,-73.988742,2018-04-27
56,A,TRAPIZZINO,Italian,40.7203665,-73.98894859999999,2018-04-27
57,Z,ROOM SERVICE,Thai,40.7617575,-73.9898209,2018-04-27
58,A,DELICIAS MEXICANOS,Mexican,40.7495965,-73.86342540000001,2018-04-27
59,A,DUNKIN' DONUTS,Donuts,40.7525325,-73.97338740000001,2018-04-27
60,Z,LENNY'S PIZZERIA,Pizza/Italian,40.6509912,-73.94881749999998,2018-04-27
61,A,CHILL BAR & HOOKAH LOUNGE,Other,40.6270913,-74.02384980000001,2018-04-27
62,Z,AMBER SUSHI I,Asian,40.77497169999999,-73.9571173,2018-04-27
63,A,THE EDGE,Caf̩/Coffee/Tea,40.8198576,-73.9460983,2018-04-27
64,Z,COUNTRY SPICE,Caribbean,40.6604238,-73.93008069999998,2018-04-27
65,A,PAIN D'EPICES,Bakery,40.77610170000001,-73.98013509999998,2018-04-27
66,A,STARBUCKS,Caf̩/Coffee/Tea,40.7020841,-74.0118801,2018-04-27
74,A,EL CASTILLO DE JAGUA REST,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.7197854,-73.98784669999998,2018-04-27
75,A,PROJECT BRUNCH,American,40.53204849999999,-74.23952940000001,2018-04-27
76,A,STARBUCKS,Caf̩/Coffee/Tea,40.7096195,-74.01050839999998,2018-04-27
77,A,PRET A MANAGER,American,40.750142100000005,-73.9782738,2018-04-27
78,Z,BOSTON JERK-CITY RESTAURANT,Caribbean,40.6396199,-73.92932739999998,2018-04-27
79,A,99 Cent Tasty Pizza 6 Ave Inc.,Pizza,40.7331073,-73.99955390000001,2018-04-27
80,A,CAFE 31,American,40.7495406,-73.99340099999998,2018-04-27
81,Z,AJI SUSHI & THAI,Asian,40.676539,-73.9800933,2018-04-27
82,A,AU BON PAIN,Sandwiches/Salads/Mixed Buffet,40.7051454,-74.0118361,2018-04-27
